LIBRO DIARIO
Periodo:,2026-05-25 al 2026-05-25

Fecha,Folio,Cuenta / Concepto,Debe,Haber
2026-05-25,VTA-000001,Caja,232.00,
2026-05-25,VTA-000001,    Ventas,,200.00
2026-05-25,VTA-000001,    IVA Trasladado,,32.00

2026-05-25,VTA-000002,Bancos,232.00,
2026-05-25,VTA-000002,    Ventas,,200.00
2026-05-25,VTA-000002,    IVA Trasladado,,32.00

2026-05-25,VTA-000003,Caja,6612.00,
2026-05-25,VTA-000003,    Ventas,,5700.00
2026-05-25,VTA-000003,    IVA Trasladado,,912.00

2026-05-25,VTA-000004,Caja,2088.00,
2026-05-25,VTA-000004,    Ventas,,1800.00
2026-05-25,VTA-000004,    IVA Trasladado,,288.00

,,SUMAS IGUALES,9164.00,9164.00
